[2025-03-24 13:58:18,336][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,337][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,336][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,335][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,335][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,337][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,336][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,338][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,332][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,337][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,338][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,339][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,338][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,338][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,337][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,341][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,336][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,339][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,341][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,339][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,338][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,341][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,340][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,341][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,343][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,342][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,341][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,346][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,346][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,344][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,346][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,346][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,345][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,355][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,355][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,355][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,355][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,350][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,356][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,357][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,356][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,356][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,357][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,357][__main__][ERROR] - Exited safely by ctrl+c.
